selection_order,store_id,store_name,enabled,note
1,S0002,낫배드커피 한남,Y,
2,S0003,노앙 한남 플래그십 스토어,Y,
3,S0005,뉴스프링프로젝트,Y,
4,S0006,다츠 한남,Y,
5,S0010,루트에브리데이 한남점,Y,
6,S0012,몬타나 한남,Y,
7,S0014,바 스왈로,Y,
8,S0017,본투스탠드아웃 플래그십 한남,Y,
9,S0018,부자피자 1호점,Y,
10,S0019,브리즈서울 한남,Y,
11,S0020,비에프디,Y,
12,S0021,빌라에이트,Y,
13,S0023,쉐봉멕,Y,
14,S0024,스시사와,Y,
15,S0034,아스티에드빌라트카페,Y,
16,S0035,아트앤초이스,Y,
17,S0036,아티코,Y,
18,S0033,아스티에드빌라트 서울플래그십스토어,Y,
19,S0043,오아시스 한남점,Y,
20,S0044,오헤시오 플래그십 한남,Y,
21,S0057,페사드 한남,Y,
22,S0042,오센트 한남스토어,Y,
23,S0059,포터리 한남,Y,
24,S0022,빠르크 한남본점,Y,피스앤블레스 대체 식당
25,S0062,한남김밥,Y,
26,S0063,한남작업실,Y,
27,S0064,행오버,Y,
28,S0070,mtl 한남,Y,
29,S0069,MOTHER Offline,Y,
30,S0052,키엔,Y,
